Seed	PlayerNr	Round	LoserHandCardCount	LoserHandValue	LoserFilledCardSpots	LoserCardSpotsValue
2521	0	13	3	23	3	94
2522	1	8	3	7	3	84
2523	0	18	4	40	2	69
2524	1	6	13	95	0	0
2525	1	13	2	18	3	100
2526	1	5	2	20	3	86
2527	0	14	2	24	3	87
2528	0	4	3	12	3	76
2529	1	10	3	30	2	42
2530	1	5	13	80	0	0
2531	1	14	2	20	3	78
2532	1	8	5	36	2	55
2533	0	11	13	60	0	0
2534	0	7	5	33	2	58
2535	1	8	2	8	3	65
2536	0	6	3	8	3	88
2537	1	5	4	30	3	84
2538	1	13	2	18	3	87
2539	0	10	5	20	2	66
2540	0	11	3	30	3	94
2541	1	3	5	31	2	48
2542	1	8	4	22	3	51
2543	1	14	1	3	3	85
2544	1	13	3	30	3	84
2545	1	10	3	25	3	73
2546	0	4	13	91	0	0
2547	0	9	3	18	3	69
2548	0	12	1	2	4	97
2549	1	14	2	19	3	90
2550	0	6	2	24	3	85
2551	0	11	1	4	3	75
2552	1	23	1	2	4	87
2553	0	20	2	19	3	117
2554	1	14	1	2	3	114
2555	1	4	6	54	2	66
2556	1	6	1	5	4	69
2557	0	6	1	2	4	75
2558	0	10	2	19	3	70
2559	0	10	13	75	0	0
2560	1	4	2	16	3	76
2561	1	12	1	10	3	62
2562	1	12	4	30	3	68
2563	1	9	4	23	3	72
2564	1	15	2	24	3	81
2565	0	16	1	2	3	61
2566	1	2	13	82	0	0
2567	1	17	2	22	3	85
2568	1	12	2	16	3	79
2569	0	9	3	17	3	86
2570	1	14	1	2	4	125
2571	1	8	1	8	3	70
2572	1	14	1	2	3	60
2573	1	9	3	11	3	84
2574	1	10	2	29	3	57
2575	0	4	6	39	2	56
2576	1	10	2	15	3	56
2577	0	12	2	4	3	85
2578	0	9	1	20	4	109
2579	0	8	4	14	3	60
2580	0	24	2	27	3	100
2581	1	8	1	4	4	63
2582	0	3	13	105	0	0
2583	0	8	3	14	3	75
2584	1	10	7	59	2	36
2585	1	13	3	28	2	77
2586	1	9	13	94	0	0
2587	0	5	2	20	3	64
2588	0	7	1	2	3	79
2589	0	13	5	50	2	46
2590	1	15	3	29	2	70
